Patient,File,Variance_Reduction_Percent,Raw_Variance,Clean_Variance
chb01,chb01_01.edf,87.11541328390835,5.1504488744652064e-09,6.636140514984356e-10
chb01,chb01_02.edf,87.80883454428928,2.8211391684003674e-09,3.439297437555501e-10
chb01,chb01_03.edf,78.00908180980569,1.6576492674211702e-09,3.6453229427894477e-10
chb01,chb01_04.edf,83.17989461862383,1.3608104389616138e-09,2.2888974987411096e-10
chb01,chb01_05.edf,91.15218902411597,6.050473279899954e-09,5.353344389519189e-10
chb01,chb01_06.edf,92.23780991556771,7.027081096453028e-09,5.454553920938923e-10
chb01,chb01_07.edf,89.63444757460546,5.744549244834928e-09,5.95454263575971e-10
chb01,chb01_08.edf,94.43768509504864,3.2440758141082264e-09,1.8044571253606454e-10
chb01,chb01_09.edf,87.07667644861884,5.8010259314270376e-09,7.496853504178389e-10
chb01,chb01_10.edf,84.69325446009483,5.293855293562035e-09,8.103169590363399e-10
chb01,chb01_11.edf,96.94114896228082,4.824690023709231e-09,1.4758008085696332e-10
chb01,chb01_12.edf,97.02944798313412,5.119659205519662e-09,1.520821397862242e-10
chb01,chb01_13.edf,94.37868880354966,3.5441118748439646e-09,1.9922555763532978e-10
chb01,chb01_14.edf,88.44243465214363,2.3135628868838384e-09,2.67391542515352e-10
chb01,chb01_15.edf,91.13200200530936,1.8673168570033345e-09,1.6559362143357616e-10
chb01,chb01_16.edf,8.254447804513699,2.0242614207747803e-09,1.8571698183700186e-09
chb01,chb01_17.edf,9.272968380959268,1.8941309253538722e-09,1.7184887635518364e-09
chb01,chb01_18.edf,71.72534644925214,1.2185741175956397e-09,3.4454761000924997e-10
chb01,chb01_19.edf,79.1834549058271,8.152381988835085e-10,1.6970442729550854e-10
chb01,chb01_20.edf,90.64775236391161,8.807714102294097e-10,8.237192339252235e-11
chb01,chb01_21.edf,87.14387753941179,3.956040890512393e-09,5.085934614752171e-10
chb01,chb01_22.edf,99.07411152439212,7.748334309207447e-09,7.174093442052218e-11
chb01,chb01_23.edf,96.60866119904436,7.468966365661135e-09,2.5329795438899186e-10
chb01,chb01_24.edf,98.77718262316655,5.069406678097816e-09,6.19895857621349e-11
chb01,chb01_25.edf,97.67921217969547,5.1776441291174425e-09,1.2016213432727e-10
chb01,chb01_26.edf,23.685139712378167,3.13304317044731e-09,2.390977518277742e-09
chb01,chb01_27.edf,69.82462982394615,2.025665363876341e-08,6.112520220777939e-09
chb01,chb01_29.edf,43.049483722167594,1.150969942966417e-08,6.554833247220477e-09
chb01,chb01_30.edf,98.57199673138172,4.6024086512816055e-09,6.572254597547194e-11
chb01,chb01_31.edf,95.77746594295226,3.895776213815397e-09,1.6450047741472038e-10
chb01,chb01_32.edf,79.70199013931337,7.405512275684363e-09,1.5031716119527712e-09
chb01,chb01_33.edf,97.58176313028434,4.4442554704324384e-09,1.0747262437035172e-10
chb01,chb01_34.edf,91.87927958309359,2.9743450908279098e-09,2.415382490601157e-10
chb01,chb01_36.edf,8.382148644102305,1.5481487750492784e-09,1.4183806434927989e-09
chb01,chb01_37.edf,85.90609256007262,9.967550100549358e-10,1.404817285199815e-10
chb01,chb01_38.edf,74.1190739601449,2.143487752764854e-09,5.547544799664239e-10
chb01,chb01_39.edf,86.3569190553221,3.9739250064957804e-10,5.4216580531701556e-11
chb01,chb01_40.edf,90.9485820089918,4.836656980332342e-10,4.377860400811551e-11
chb01,chb01_41.edf,76.45743613480066,7.038413941864273e-10,1.6570230973604908e-10
chb01,chb01_42.edf,86.85565678181595,3.4498133390660023e-09,4.534553056735307e-10
chb01,chb01_43.edf,85.54875070985463,1.0282300234481429e-09,1.485920839646113e-10
chb01,chb01_46.edf,95.43977358749463,5.117652303922333e-09,2.333765320636563e-10
chb02,chb02_01.edf,23.770439989323332,4.19284620314329e-09,3.1961882125804925e-09
chb02,chb02_02.edf,15.42946759418744,9.000728966661631e-10,7.611964407509932e-10
chb02,chb02_03.edf,20.125191230612117,5.646437456826235e-09,4.510081120923044e-09
chb02,chb02_04.edf,17.99710088126115,1.9337180154809676e-09,1.5857048334757367e-09
chb02,chb02_05.edf,92.06844358004076,1.87553542127045e-09,1.4875915011438597e-10
chb02,chb02_06.edf,67.63410928998049,2.721636402420003e-09,8.80881863531365e-10
chb02,chb02_07.edf,70.04784055540445,2.141228426815346e-09,6.413441524727372e-10
chb02,chb02_08.edf,23.776143875148282,2.965031256441661e-09,2.260061158966975e-09
chb02,chb02_09.edf,18.24071915809855,1.9740652348399037e-09,1.6139815393550982e-09
chb02,chb02_10.edf,15.43067800171044,1.158582046984342e-09,9.798049819285626e-10
chb02,chb02_11.edf,13.790795918159017,7.963845147694525e-10,6.865567516137764e-10
chb02,chb02_12.edf,20.527414670677402,3.7087076475768057e-10,2.94740584983559e-10
chb02,chb02_13.edf,18.880687319022105,9.17002164857304e-10,7.438658534019328e-10
chb02,chb02_14.edf,76.88231474434654,8.928573999186937e-10,2.064079634950147e-10
chb02,chb02_15.edf,73.32725687966031,3.5061594213663697e-09,9.351888958506404e-10
chb02,chb02_16+.edf,42.31137319020547,1.9585730464994626e-08,1.1298738955922985e-08
chb02,chb02_16.edf,81.27027449862851,6.508266686177089e-09,1.2189804852181758e-09
chb02,chb02_17.edf,25.573009667334368,7.083867379184917e-09,5.272309289484812e-09
chb02,chb02_18.edf,28.62189216038814,4.900020732321522e-09,3.4975420824797945e-09
chb02,chb02_19.edf,77.47300262099444,4.984982730780404e-09,1.1229669291067817e-09
chb02,chb02_20.edf,25.523904817581123,4.6787233228390676e-09,3.484530435239655e-09
chb02,chb02_21.edf,71.6400427579928,2.1054949640964243e-09,5.971174715503606e-10
chb02,chb02_22.edf,79.93824704270301,2.90504634152604e-09,5.828032203319483e-10
chb02,chb02_23.edf,63.30013667348251,6.676265121673449e-09,2.4501801749701127e-09
chb02,chb02_24.edf,29.470553148976954,4.408805594442476e-09,3.109506198497237e-09
chb02,chb02_25.edf,24.635566840931787,2.6587929114802174e-09,2.003784206610552e-09
chb02,chb02_26.edf,23.42572472676857,8.899445220522259e-09,6.814685680953152e-09
chb02,chb02_27.edf,23.089904528193305,7.542989078489964e-09,5.801320101694583e-09
chb02,chb02_28.edf,19.651253297020887,1.3746307941734151e-09,1.1044986149115475e-09
chb02,chb02_29.edf,10.245056723156498,2.115755518401128e-09,1.8989951654176187e-09
chb02,chb02_30.edf,20.262616969473825,9.677947066645295e-10,7.716941722022532e-10
chb02,chb02_31.edf,26.53578197920674,1.243777739576033e-09,9.137315902962311e-10
chb02,chb02_32.edf,14.648849677859744,8.164895219707165e-10,6.968831992617507e-10
chb02,chb02_33.edf,78.62555093430734,4.788832656799448e-10,1.0235865970688546e-10
chb02,chb02_34.edf,32.173673887576314,6.622148870306097e-10,4.4915602884239943e-10
chb02,chb02_35.edf,31.76597938120591,5.324957952517252e-09,3.6334329072627372e-09
chb03,chb03_01.edf,28.538430482003697,7.74968191955241e-09,5.5380443323645356e-09
chb03,chb03_02.edf,24.25450236654457,7.48472937310838e-09,5.669345510178351e-09
chb03,chb03_03.edf,18.37685763215553,7.304495996269231e-09,5.962159166288334e-09
chb03,chb03_04.edf,94.56040106211127,3.521984846090867e-09,1.9158185028056097e-10
chb03,chb03_05.edf,31.83625506318468,1.8318964378403194e-09,1.2486892153960808e-09
chb03,chb03_06.edf,66.64946710407737,7.91155229846522e-10,2.6385448518777656e-10
chb03,chb03_07.edf,28.666523170093306,4.81728201557746e-10,3.43633475041321e-10
chb03,chb03_08.edf,85.16268229712486,3.666450392483134e-10,5.440028931510353e-11
chb03,chb03_09.edf,24.654371802172115,1.9854925347103154e-10,1.495981823098463e-10
chb03,chb03_10.edf,95.21648087844203,2.8720988819364815e-09,1.373873992074842e-10
chb03,chb03_11.edf,77.81523639345636,2.558746558376947e-10,5.67651875266497e-11
chb03,chb03_12.edf,22.785433098146836,1.1654700410933896e-10,8.999126446011108e-11
chb03,chb03_13.edf,22.734418745614416,2.1162910619669296e-10,1.6351645900633576e-10
chb03,chb03_14.edf,27.800887301319786,1.3185872830229275e-10,9.520083185001889e-11
chb03,chb03_15.edf,22.304702535342223,2.0842852812866296e-10,1.619391649307726e-10
chb03,chb03_16.edf,26.098741070979482,3.4339376123108884e-09,2.5377231263348945e-09
chb03,chb03_17.edf,24.46847539339052,8.448156094124861e-09,6.381021099038698e-09
chb03,chb03_18.edf,26.625645674061417,2.885914826079656e-09,2.117521370032481e-09
chb03,chb03_19.edf,27.36956822334191,8.964570887642183e-09,6.511006542619109e-09
chb03,chb03_20.edf,22.569793585485353,1.1069067774540135e-08,8.570802025988949e-09
chb03,chb03_21.edf,23.61842196773888,1.2616263204542884e-08,9.636500924333371e-09
chb03,chb03_22.edf,21.186135809868134,7.749279252551383e-09,6.107506425819913e-09
chb03,chb03_23.edf,17.476696938997193,1.4469884766367865e-08,1.1941026858327631e-08
chb03,chb03_24.edf,22.885164354897604,1.4235077972414762e-08,1.0977356982379818e-08
chb03,chb03_25.edf,21.65391697329282,8.546515831842144e-09,6.69586038950572e-09
chb03,chb03_26.edf,23.25011416867726,1.0843894664397121e-08,8.322676774593689e-09
chb03,chb03_27.edf,20.87289990178659,1.4521615334445257e-08,1.1490533101564007e-08
chb03,chb03_28.edf,21.01724316433664,1.0092048750853594e-08,7.970978324623296e-09
chb03,chb03_29.edf,22.79121370244327,5.0681105317109316e-09,3.9130266297526595e-09
chb03,chb03_30.edf,28.40773449932048,3.625746849924658e-09,2.5957543111805855e-09
chb03,chb03_31.edf,29.464820410697147,2.1017929164975525e-09,1.482503408246795e-09
chb03,chb03_32.edf,99.31420880553158,3.6999194737912927e-09,2.5373721953683193e-11
chb03,chb03_33.edf,76.21986761371475,1.4512255280296743e-09,3.451033517890237e-10
chb03,chb03_34.edf,32.01579821198577,2.437059972716907e-09,1.6568157695467866e-09
chb03,chb03_35.edf,31.468463570507154,2.580305090614692e-09,1.768322723166666e-09
chb03,chb03_36.edf,39.387399472844976,2.85026431558526e-09,1.7276193235737428e-09
chb03,chb03_37.edf,22.999785301747277,3.803312903326742e-09,2.92855910120794e-09
chb03,chb03_38.edf,25.163701189681277,5.279454135855947e-09,3.950948072662887e-09
chb04,chb04_01.edf,25.805975025106186,3.2241154308293213e-09,2.392101007968912e-09
chb04,chb04_02.edf,45.86475831821162,1.3453687156264535e-09,7.283186057155528e-10
chb04,chb04_03.edf,54.570051759920936,7.232008824469521e-10,3.285497865674453e-10
chb04,chb04_04.edf,37.50278883668534,2.9525876776468672e-09,1.845284955680971e-09
chb04,chb04_05.edf,74.25335969292395,9.12867995259759e-08,2.350328392179462e-08
chb04,chb04_06.edf,74.07213558867076,2.8834185844334183e-09,7.476088609829658e-10
chb04,chb04_07.edf,77.56748947135488,2.3303196017442503e-09,5.227491900123601e-10
chb04,chb04_08.edf,74.86330286926248,2.8041754601288927e-09,7.048770924270651e-10
chb04,chb04_09.edf,35.25881191097097,1.7032067571469804e-09,1.1026762901895786e-09
chb04,chb04_10.edf,42.450058726485636,7.729097980333388e-10,4.4480913486542496e-10
chb04,chb04_11.edf,36.69194614453842,1.9194796964354144e-09,1.2151852399639826e-09
chb04,chb04_12.edf,38.561706661695524,7.62510043418736e-09,4.684731572096358e-09
chb04,chb04_13.edf,95.3136241343754,1.417532158579643e-08,6.643088496714377e-10
chb04,chb04_14.edf,59.20022524290438,2.9796946561050512e-08,1.2157087081400758e-08
chb04,chb04_15.edf,25.91197193682878,1.304736706578321e-08,9.666536973202423e-09
chb04,chb04_16.edf,99.25425077265626,5.0468443839044055e-08,3.763680299820812e-10
chb04,chb04_17.edf,96.19204208895766,3.927242995761763e-08,1.4954776034296595e-09
chb04,chb04_18.edf,21.994243825636072,1.216030422696968e-08,9.485737265350839e-09
chb04,chb04_19.edf,63.95288620867896,4.219439988814268e-08,1.520986334124383e-08
chb04,chb04_21.edf,72.50463667441525,2.939505589703622e-09,8.082277418648837e-10
chb04,chb04_22.edf,75.72434437636622,1.842943957755481e-09,4.4738672852128743e-10
chb04,chb04_23.edf,42.828628073357265,2.8634039972122974e-09,1.6370473490085972e-09
chb04,chb04_24.edf,78.09769141862897,4.213029324463596e-09,9.227506832676683e-10
chb04,chb04_25.edf,35.60269679530387,4.035069624236016e-09,2.59847602043986e-09
chb04,chb04_26.edf,87.89245834466757,1.0389069353007273e-09,1.2578608995167308e-10
chb04,chb04_27.edf,69.6801855260117,4.556656315112049e-09,1.3815697409592453e-09
chb04,chb04_28.edf,27.02120603043635,1.1859232318184212e-09,8.654724719859564e-10
chb04,chb04_29.edf,40.03470211315102,4.84358404125513e-10,2.904469598738517e-10
chb04,chb04_30.edf,28.862472589569755,2.6847539012714947e-09,1.909867542419605e-09
chb04,chb04_31.edf,94.39053468660444,2.0563228730918624e-08,1.1534871829750694e-09
chb04,chb04_32.edf,90.00446701475389,3.0235225468370397e-08,3.022171934854495e-09
chb04,chb04_33.edf,95.04119229225734,1.8997566880987295e-08,9.420528107779662e-10
chb04,chb04_34.edf,99.5625277391927,5.2696316581911806e-08,2.3053176751306275e-10
chb04,chb04_35.edf,88.38356303281017,6.632930100708156e-09,7.705101442265232e-10
chb04,chb04_36.edf,31.86005198581897,1.8334896438473193e-09,1.2493388901629562e-09
chb04,chb04_37.edf,71.52614634692557,1.3941967099471208e-08,3.969815308263218e-09
chb04,chb04_38.edf,69.60553359016248,1.5224793525813214e-09,4.6274947541704153e-10
chb04,chb04_39.edf,65.2745713447257,2.034560782742648e-09,7.065099530594885e-10
chb04,chb04_40.edf,88.76784885476764,1.2306007945117368e-09,1.3822294123398856e-10
chb04,chb04_41.edf,43.91394667510927,5.142904806095246e-10,2.8844523319949477e-10
chb04,chb04_42.edf,81.91938398643852,5.489570201668927e-10,9.925481089586515e-11
chb04,chb04_43.edf,33.60821109017529,3.5592763440013534e-09,2.363067237026705e-09
chb05,chb05_01.edf,13.49877921595074,6.295268987927172e-09,5.445484526196667e-09
chb05,chb05_02.edf,13.392624266496068,6.7669493049913136e-09,5.86067721026956e-09
chb05,chb05_03.edf,12.887712658125693,5.674125867565943e-09,4.9428608298936624e-09
chb05,chb05_04.edf,14.730829689447777,5.642725561062771e-09,4.811505268819678e-09
chb05,chb05_05.edf,15.36839141253541,5.249492862126347e-09,4.442730251901662e-09
chb05,chb05_06.edf,8.639616539175787,6.148555777281765e-09,5.617344135427281e-09
chb05,chb05_07.edf,10.922394035554795,2.608172138209552e-09,2.32329730014875e-09
chb05,chb05_08.edf,13.148887928133568,2.4388068779042886e-09,2.1181308947450406e-09
chb05,chb05_09.edf,16.664475276118505,3.0105236609787997e-09,2.50883568981329e-09
chb05,chb05_10.edf,14.966431279468006,2.271690086921161e-09,1.9316991511796187e-09
chb05,chb05_11.edf,13.436006892631248,2.227228027915937e-09,1.927977516570537e-09
chb05,chb05_12.edf,13.625953196476715,2.176337437905795e-09,1.879790717219351e-09
chb05,chb05_13.edf,10.221587159677759,4.7180609708980515e-09,4.2358002565109684e-09
chb05,chb05_14.edf,19.669459876766847,7.248854948028156e-09,5.82304433250073e-09
chb05,chb05_15.edf,14.212495051687368,2.635080695784569e-09,2.2605699822882182e-09
chb05,chb05_16.edf,11.624015738072357,6.9414992216814984e-09,6.134618259695071e-09
chb05,chb05_17.edf,11.732642628517898,7.289755495060658e-09,6.4344745343324454e-09
chb05,chb05_18.edf,75.65568327738326,8.092800205307658e-09,1.9701369137086747e-09
chb05,chb05_19.edf,14.45965737578917,7.551290140443433e-09,6.459399458683564e-09
chb05,chb05_20.edf,13.830654230199057,8.519084418063385e-09,7.340839308622273e-09
chb05,chb05_21.edf,12.914577843536346,9.7762844963052e-09,8.51371862482429e-09
chb05,chb05_22.edf,10.450043192753334,1.1526757624840396e-08,1.0322206474320586e-08
chb05,chb05_23.edf,12.831387301263108,2.874950811300544e-09,2.5060547379817654e-09
chb05,chb05_24.edf,14.035788402968663,4.650084363269436e-09,3.9974083614814055e-09
chb05,chb05_25.edf,11.951739438771991,2.688557901864576e-09,2.367228466773207e-09
chb05,chb05_26.edf,79.88135348218354,8.04657670664479e-09,1.6188623243948219e-09
chb05,chb05_27.edf,59.58087476465113,1.3652402256678898e-08,5.51818156576064e-09
chb05,chb05_28.edf,9.817764148183272,9.51626647549998e-09,8.581981877222759e-09
chb05,chb05_29.edf,10.584172632799337,1.2271918585020399e-08,1.0973037536625253e-08
chb05,chb05_30.edf,10.790160683352346,8.158871031608302e-09,7.278515737350279e-09
chb05,chb05_31.edf,9.503994341018496,5.736752140168496e-09,5.191531541408625e-09
chb05,chb05_32.edf,10.470735277772448,5.763379938544914e-09,5.159911682127632e-09
chb05,chb05_33.edf,11.198176555873374,5.650360033945113e-09,5.017622741301433e-09
chb05,chb05_34.edf,8.95630955504425,9.064220220643905e-09,8.252400598932122e-09
chb05,chb05_35.edf,8.425833227986967,9.367039736696268e-09,8.577788590082971e-09
chb05,chb05_36.edf,11.397502184254538,8.526566840049458e-09,7.554751198212898e-09
chb05,chb05_37.edf,9.412720746310587,6.421958064050916e-09,5.8174770850366294e-09
chb05,chb05_38.edf,8.518915920070603,6.906057654209581e-09,6.317736409255867e-09
chb05,chb05_39.edf,7.951497712488031,1.3840101081304528e-08,1.2739605760418568e-08
chb06,chb06_01.edf,73.08433531215948,3.3074637054969696e-09,8.902258406435896e-10
chb06,chb06_02.edf,13.290337388335715,3.8022729550041954e-09,3.2969380508586956e-09
chb06,chb06_03.edf,71.66457254931372,1.3253053796444057e-09,3.7553094434918294e-10
chb06,chb06_04.edf,83.39781204932153,3.0360724946293464e-08,5.040544618772165e-09
chb06,chb06_05.edf,79.60422087682473,2.2423859588738642e-08,4.5735208726100924e-09
chb06,chb06_06.edf,85.48398966468416,3.218125382077084e-09,4.67143413065732e-10
chb06,chb06_07.edf,84.24387637034512,3.5260024347505184e-09,5.555613028039329e-10
chb06,chb06_08.edf,88.14284408212569,3.058659267995721e-09,3.626699984027655e-10
chb06,chb06_09.edf,89.09617510241814,2.638900403396205e-09,2.8774107920790336e-10
chb06,chb06_10.edf,53.32623583010858,1.1437739819040314e-08,5.3384237095046425e-09
chb06,chb06_12.edf,79.08044180000512,3.8056941398099864e-09,7.961344004913445e-10
chb06,chb06_13.edf,80.96650769338095,4.2360073664799935e-09,8.062601362067865e-10
chb06,chb06_14.edf,88.7828436020938,3.6019641329399097e-09,4.0403795018835523e-10
chb06,chb06_15.edf,74.48930852444352,1.2582915356870878e-09,3.209988715321748e-10
chb06,chb06_16.edf,83.62847130959132,1.6082967321506206e-09,2.633027609309441e-10
chb06,chb06_17.edf,81.41362136149503,2.7481343405285155e-09,5.107786540254115e-10
chb06,chb06_18.edf,25.004912909844702,4.2954604564944e-09,3.221384310271158e-09
chb06,chb06_24.edf,96.41603096033194,4.93280558792886e-09,1.767902250583868e-10
chb07,chb07_01.edf,95.1684552455806,7.2099671631450505e-09,3.4835279026629566e-10
chb07,chb07_02.edf,76.06939795343501,3.2421650292194883e-09,7.758696108354131e-10
chb07,chb07_03.edf,14.201471726923486,1.5701600262166397e-09,1.3471741940260291e-09
chb07,chb07_04.edf,18.17922376193586,5.812925817293389e-09,4.756181025852285e-09
chb07,chb07_05.edf,39.8791097335109,3.275211635160615e-08,1.9690863931701967e-08
chb07,chb07_06.edf,74.74743628313578,7.264910374219941e-09,1.8345761212229698e-09
chb07,chb07_07.edf,79.41972077635207,2.6755860496492947e-09,5.506430798867963e-10
chb07,chb07_08.edf,84.96614133823395,5.5497015145949625e-09,8.343342818540969e-10
chb07,chb07_09.edf,96.94313655577463,5.464784735568615e-09,1.670510068872055e-10
chb07,chb07_10.edf,12.910843992078592,2.134229722862302e-09,1.8586826529109791e-09
chb07,chb07_11.edf,15.62125718484978,8.309080844920801e-10,7.011097956438634e-10
chb07,chb07_12.edf,90.94132569238926,9.879630023308331e-09,8.949635066084282e-10
